72: g0-s0, g1-s0, y0-s3, y1-s2, b0-s0, b1-s0, 
73: g0-s0, g1-s0, y0-s3, y1-s2, b0-s0, b1-s0, 
74: g0-s0->s1, g1-s0, y0-s3->s1, y1-s2, b0-s0, b1-s0, 
75: g0-s1, g1-s0, y0-s1, y1-s2, b0-s0, b1-s0, 
76: g0-s1, g1-s0, y0-s1, y1-s2, b0-s0, b1-s0, 
77: g0-s1, g1-s0, y0-s1, y1-s2, b0-s0, b1-s0, 
78: g0-s1, g1-s0, y0-s1->s2, y1-s2->s1, b0-s0, b1-s0, 
79: g0-s1, g1-s0->s3, y0-s1->s2, y1-s2->s1, b0-s0, b1-s0, 
80: g0-s1, g1-s0->s3, y0-s1->s2, y1-s2->s1, b0-s0, b1-s0, 
81: g0-s1->s0, g1-s0->s3, y0-s1->s2, y1-s2->s1, b0-s0, b1-s0, 
82: g0-s0, g1-s3, y0-s2, y1-s1, b0-s0, b1-s0, 
83: g0-s0, g1-s3, y0-s2, y1-s1, b0-s0, b1-s0, 
84: g0-s0, g1-s3, y0-s2, y1-s1->s3, b0-s0, b1-s0, 
85: g0-s0, g1-s3, y0-s2, y1-s3, b0-s0, b1-s0, 
86: g0-s0, g1-s3, y0-s2, y1-s3, b0-s0, b1-s0->s2, 
87: g0-s0, g1-s3, y0-s2, y1-s3, b0-s0, b1-s0->s2, 
88: g0-s0, g1-s3, y0-s2->s1, y1-s3, b0-s0, b1-s2, 
89: g0-s0, g1-s3->s0, y0-s2->s1, y1-s3, b0-s0, b1-s2, 
90: g0-s0, g1-s3->s0, y0-s2->s1, y1-s3, b0-s0, b1-s2, 
91: g0-s0, g1-s3->s0, y0-s2->s1, y1-s3, b0-s0, b1-s2, 
92: g0-s0, g1-s0, y0-s1, y1-s3, b0-s0, b1-s2, 
93: g0-s0, g1-s0, y0-s1, y1-s3->s1, b0-s0, b1-s2, 
94: g0-s0, g1-s0, y0-s1, y1-s1, b0-s0, b1-s2->s3, 
95: g0-s0->s3, g1-s0, y0-s1->s3, y1-s1, b0-s0, b1-s2->s3, 
96: g0-s0->s3, g1-s0, y0-s3, y1-s1, b0-s0, b1-s3, 
97: g0-s0->s3, g1-s0, y0-s3, y1-s1->s2, b0-s0, b1-s3, 
98: g0-s3, g1-s0, y0-s3, y1-s1->s2, b0-s0, b1-s3, 
99: g0-s3, g1-s0, y0-s3, y1-s1->s2, b0-s0, b1-s3, 
100: g0-s3, g1-s0, y0-s3, y1-s1->s2, b0-s0, b1-s3, 
101: g0-s3, g1-s0, y0-s3->s1, y1-s2, b0-s0, b1-s3, 
102: g0-s3, g1-s0, y0-s1, y1-s2, b0-s0->s2, b1-s3, 
103: g0-s3, g1-s0, y0-s1, y1-s2, b0-s0->s2, b1-s3, 
104: g0-s3, g1-s0, y0-s1, y1-s2, b0-s2, b1-s3, 
105: g0-s3, g1-s0, y0-s1->s2, y1-s2, b0-s2, b1-s3, 
106: g0-s3, g1-s0, y0-s1->s2, y1-s2, b0-s2, b1-s3, 
107: g0-s3, g1-s0, y0-s1->s2, y1-s2->s1, b0-s2, b1-s3->s2, 
108: g0-s3, g1-s0, y0-s1->s2, y1-s2->s1, b0-s2, b1-s3->s2, 
109: g0-s3->s0, g1-s0, y0-s2, y1-s2->s1, b0-s2, b1-s2, 
110: g0-s3->s0, g1-s0, y0-s2, y1-s2->s1, b0-s2, b1-s2, 
111: g0-s3->s0, g1-s0->s1, y0-s2, y1-s1, b0-s2, b1-s2, 
112: g0-s0, g1-s1, y0-s2, y1-s1, b0-s2, b1-s2, 
113: g0-s0, g1-s1, y0-s2, y1-s1->s3, b0-s2->s3, b1-s2, 
114: g0-s0, g1-s1, y0-s2, y1-s3, b0-s2->s3, b1-s2, 
115: g0-s0, g1-s1, y0-s2, y1-s3, b0-s3, b1-s2, 
116: g0-s0, g1-s1, y0-s2, y1-s3, b0-s3, b1-s2, 
117: g0-s0, g1-s1, y0-s2, y1-s3, b0-s3, b1-s2, 
118: g0-s0->s1, g1-s1, y0-s2, y1-s3, b0-s3, b1-s2, 
119: g0-s1, g1-s1->s0, y0-s2, y1-s3, b0-s3, b1-s2, 
120: g0-s1, g1-s0, y0-s2, y1-s3, b0-s3, b1-s2, 
121: g0-s1, g1-s0, y0-s2, y1-s3->s1, b0-s3, b1-s2, 
