0: y1-s5, y0-s6, g0-s7, g1-s0, y3-s5, y2-s6, g2-s7, g3-s0, y5-s5, y4-s6, g4-s7, g5-s0, y7-s5, y6-s6, g6-s7, g7-s0, y9-s5, y8-s6, g8-s7, g9-s0, b1-s5, b0-s0, b3-s5, b2-s0, b5-s5, b4-s0, b7-s5, b6-s0, b9-s5, b8-s0, 
36: y1-s4->s6, b1-s5->s3, y6-s6->s4, g1-s2, b2-s0->s1, b3-s5, y8-s6, b5-s5, y3-s2->s4, b4-s0, b6-s0, g9-s1, y4-s4, b7-s5, g3-s1->s2, g4-s2->s1, b8-s0, g2-s1, b9-s5, y5-s1, y0-s2, g0-s0, b0-s1, g5-s1, g6-s2, y7-s1, g8-s2, g7-s1, y2-s2, y9-s1, 
37: g4-s2->s1, y1-s4->s6, b1-s5->s3, y6-s6->s4, b7-s5, y0-s2, b3-s5, y8-s6, b9-s5, g6-s2, b5-s5, g8-s2, y2-s2, y4-s4, b4-s0, y3-s2->s4, b6-s0, g9-s1, g1-s2, b2-s0->s1, g3-s1->s2, b8-s0, g2-s1, y5-s1, g0-s0, b0-s1, g5-s1, y7-s1, g7-s1, y9-s1, 
38: g4-s2->s1, y6-s6->s4, y4-s4, y0-s2, y8-s6, g6-s2, g8-s2, y2-s2, g1-s2, b7-s5, b1-s5->s3, b9-s5, b3-s5, b5-s5, g3-s1->s2, y5-s1, g5-s1, y7-s1, g7-s1, y9-s1, b4-s0, y3-s2->s4, b6-s0, g9-s1, y1-s6, b2-s0->s1, b8-s0, g2-s1, g0-s0, b0-s1, 
39: y4-s4, g4-s2->s1, b1-s5->s3, y3-s4, y0-s2, b3-s5, g6-s2, b5-s5, g8-s2, b7-s5, y2-s2, g1-s2, b4-s0, b6-s0, b8-s0, g0-s0, b9-s5, g9-s1, y1-s6, g3-s1->s2, y6-s6->s4, g2-s1, y5-s1, y8-s6, b0-s1, g5-s1, b2-s1, y7-s1, g7-s1, y9-s1, 
40: y0-s2->s1, b1-s5->s3, b6-s0, b4-s0->s1, g6-s2, b3-s5, b8-s0, g8-s2, b5-s5, g0-s0, y2-s2, b7-s5, g1-s2, y4-s4, y3-s4, b9-s5, g3-s1->s2, y6-s6->s4, g2-s1, y5-s1, y8-s6, b0-s1, g5-s1, y1-s6, b2-s1, y7-s1, g4-s1, g7-s1, y9-s1, g9-s1, 
41: y0-s2->s1, b3-s5->s3, y6-s6->s4, b6-s0, b0-s1, b1-s3, y4-s4, b9-s5, b4-s0->s1, g2-s1->s0, g3-s1->s2, g6-s2, b5-s5, y8-s6, b8-s0, b2-s1, y3-s4, y5-s1, g8-s2, b7-s5, y1-s6, g0-s0, g4-s1, g5-s1, y2-s2, y7-s1, g1-s2, g7-s1, y9-s1, g9-s1, 
42: y6-s6->s4, b0-s1, g2-s1->s0, y8-s6, b2-s1, y1-s6, g4-s1, b9-s5, b1-s3, y0-s2->s1, y3-s4, g6-s2, g8-s2, y2-s2, g1-s2, b6-s0, b3-s5->s3, b8-s0, b4-s0->s1, g3-s1->s2, b5-s5, g0-s0, y5-s1, b7-s5, g5-s1, y7-s1, g7-s1, y9-s1, g9-s1, y4-s4->s2, 
43: y0-s2->s1, y4-s4->s2, b3-s5->s3, y6-s6->s4, g6-s2, b5-s5, y8-s6, g8-s2, b7-s5, y1-s6, y2-s2, g1-s2, b8-s0, g0-s0, b0-s1, g3-s2, b1-s3, y3-s4, b9-s5, b4-s0->s1, g2-s1->s0, y5-s1->s2, b2-s1, b6-s0, g5-s1, g4-s1, y7-s1, g7-s1, y9-s1, g9-s1, 
44: y0-s2->s1, b1-s3->s1, y4-s4->s2, b3-s5->s3, y6-s6->s4, b8-s0, b0-s1, y3-s4, b9-s5, b6-s0->s1, y5-s1->s2, g6-s2, b5-s5, y8-s6, g0-s0, b2-s1, g5-s1, g8-s2, b7-s5, y1-s6, g2-s0, g4-s1, y7-s1, y2-s2, b4-s1, g7-s1, g1-s2, y9-s1, g9-s1, g3-s2->s7, 
45: g3-s2->s7, y4-s4->s2, y3-s4->s6, y6-s6->s4, b0-s1, y5-s1->s2, y8-s6, b2-s1, g5-s1, y1-s6, g4-s1, y7-s1, b4-s1, g7-s1, y9-s1, g9-s1, b1-s3->s1, b8-s0, y0-s2->s1, b3-s5->s3, g0-s0, b6-s0->s1, g6-s2, b5-s5, g2-s0, g8-s2, b7-s5, y2-s2, b9-s5, g1-s2, 
46: b1-s3->s1, y3-s4->s6, y8-s6->s4, y5-s1->s2, y1-s6, g5-s1, y7-s1, g7-s1, y9-s1, g9-s1, b8-s0, b0-s1->s3, y0-s2->s1, g3-s2->s7, b3-s5->s3, g0-s0, b2-s1, y4-s2, y6-s4, b6-s0->s1, g6-s2, b5-s5, g2-s0, g4-s1, g8-s2, b7-s5, b4-s1, y2-s2, b9-s5, g1-s2, 
47: g3-s2->s7, b1-s3->s1, y3-s4->s6, b3-s5->s3, y8-s6->s4, y4-s2, y6-s4, b0-s1->s3, y0-s2->s1, b5-s5, y1-s6, g6-s2, b7-s5, g8-s2, b9-s5, y2-s2, g1-s2, b8-s0, g0-s0, g2-s0, y5-s1->s2, b2-s1, g5-s1, g4-s1, y7-s1, b4-s1, g7-s1, b6-s1, y9-s1, g9-s1, 
