0: y1-s5, y0-s6, g0-s7, g1-s0, y3-s5, y2-s6, g2-s7, g3-s0, y5-s5, y4-s6, g4-s7, g5-s0, y7-s5, y6-s6, g6-s7, g7-s0, y9-s5, y8-s6, g8-s7, g9-s0, b1-s5, b0-s0, b3-s5, b2-s0, b5-s5, b4-s0, b7-s5, b6-s0, b9-s5, b8-s0, 
16: y0-s4, g5-s0->s1, g1-s1->s2, g0-s2->s1, y2-s6->s4, g4-s7->s2, g7-s0, y1-s2, g2-s2, y4-s6, g6-s7, g9-s0, y6-s6, g8-s7, b0-s0, y8-s6, b2-s0, b4-s0, b6-s0, b8-s0, y7-s5, y3-s1, y9-s5, g3-s1, b1-s5, y5-s1, b3-s5, b5-s5, b7-s5, b9-s5, 
17: g0-s2->s1, y2-s6->s4, g4-s7->s2, g7-s0, g3-s1, y0-s4, g2-s2, y4-s6, g6-s7, g9-s0, y5-s1, y6-s6, g8-s7, b0-s0, y8-s6, b2-s0, b4-s0, b6-s0, b8-s0, y7-s5, y1-s2, y9-s5, g5-s0->s1, g1-s1->s2, b1-s5, y3-s1, b3-s5, b5-s5, b7-s5, b9-s5, 
18: g0-s2->s1, y0-s4->s2, y2-s6->s4, g2-s2, y4-s6, y6-s6, y8-s6, g7-s0, g9-s0, b0-s0, b2-s0, b4-s0, b6-s0, b8-s0, y7-s5, y5-s1, y9-s5, g1-s1->s2, y1-s2->s4, g4-s7->s2, g5-s1, b1-s5, y3-s1, g6-s7, b3-s5, g3-s1, g8-s7, b5-s5, b7-s5, b9-s5, 
19: g1-s1->s2, g0-s2->s1, y1-s2->s4, y0-s4->s2, y7-s5->s1, y2-s6->s4, g4-s7->s2, g7-s0, y5-s1, y9-s5, y3-s1, g2-s2, y4-s6, g6-s7, g9-s0, g5-s1, b1-s5, g3-s1, y6-s6, g8-s7, b0-s0, b3-s5, y8-s6, b2-s0, b5-s5, b4-s0, b7-s5, b6-s0, b9-s5, b8-s0, 
20: y5-s1, g4-s2, y9-s5, g1-s1->s2, g2-s2->s1, y1-s2->s4, y0-s4->s2, y7-s5->s1, y2-s6->s4, g6-s7->s2, g7-s0, g5-s1, b1-s5, y3-s1, y4-s6, g8-s7, g9-s0, g0-s1, b3-s5, g3-s1, y6-s6, b0-s0, b5-s5, y8-s6, b2-s0, b7-s5, b4-s0, b9-s5, b6-s0, b8-s0, 
21: y9-s5, g7-s0->s1, g1-s1->s2, g2-s2->s1, y1-s2->s4, y0-s4->s2, y2-s6->s4, g6-s7->s2, g9-s0, b1-s5, y3-s1, g4-s2, y4-s6, g8-s7, b0-s0, b3-s5, g3-s1, y6-s6, b2-s0, b5-s5, y8-s6, b4-s0, b7-s5, b6-s0, b9-s5, b8-s0, y5-s1, g5-s1, g0-s1, y7-s1, 
22: y0-s2, y1-s4, y9-s5, g7-s0->s1, g1-s1->s2, g2-s2->s1, y2-s6->s4, g6-s7->s2, g9-s0, y5-s1, b1-s5, y3-s1, g4-s2, y4-s6, g8-s7, b0-s0, g5-s1, b3-s5, g3-s1, y6-s6, b2-s0, g0-s1, b5-s5, y8-s6, b4-s0, y7-s1, b7-s5, b6-s0, b9-s5, b8-s0, 
23: y0-s2, g6-s7->s2, g8-s7, g1-s1->s2, y3-s1, g3-s1, y5-s1, g9-s0, g2-s2->s1, y9-s5->s1, y2-s6->s4, b0-s0, g5-s1, y1-s4, b1-s5, g7-s0->s1, g4-s2, y4-s6, b2-s0, g0-s1, b3-s5, y6-s6, b4-s0, y7-s1, b5-s5, y8-s6, b6-s0, b7-s5, b8-s0, b9-s5, 
24: y3-s1->s2, g2-s2->s1, y9-s5->s1, y2-s6->s4, g6-s7->s2, g9-s0, g5-s1, g1-s2, y1-s4, b1-s5, g3-s1, g4-s2, y4-s6, g8-s7, b0-s0, g0-s1, b3-s5, y5-s1, y0-s2, y6-s6, b2-s0, y7-s1, b5-s5, y8-s6, b4-s0, g7-s1, b7-s5, b6-s0, b9-s5, b8-s0, 
25: b1-s5, g0-s1, b3-s5, g2-s2->s1, y7-s1, b5-s5, g4-s2, g7-s1, b7-s5, y0-s2, y9-s1, b9-s5, g9-s0->s1, y1-s4, y2-s4, y4-s6->s4, y6-s6, y8-s6, b0-s0, b2-s0, b4-s0, b6-s0, b8-s0, g8-s7->s2, g6-s2, g1-s2->s7, y3-s1->s2, g3-s1, y5-s1, g5-s1, 
26: g2-s2->s1, y4-s6->s4, g8-s7->s2, b0-s0, g0-s1, g6-s2, y1-s4, b1-s5, g9-s0->s1, y3-s1->s2, g4-s2, y6-s6, b2-s0, y7-s1, y2-s4, b3-s5, g3-s1, y0-s2, y8-s6, b4-s0, g7-s1, b5-s5, y5-s1, b6-s0, y9-s1, b7-s5, g5-s1, b8-s0, b9-s5, g1-s2->s7, 
27: g9-s0->s1, y3-s1->s2, g2-s2->s1, g1-s2->s7, y4-s6->s4, g8-s7->s2, b0-s0, b1-s5, g3-s1, g4-s2, y6-s6, b2-s0, b3-s5, y5-s1, y0-s2, y8-s6, b4-s0, b5-s5, g5-s1, g6-s2, b6-s0, b7-s5, b8-s0, b9-s5, g0-s1, y7-s1, y1-s4, g7-s1, y2-s4, y9-s1, 
28: b1-s5, y3-s1->s2, g1-s2->s7, y1-s4->s6, y4-s6->s4, g8-s7->s2, g0-s1, b3-s5, g3-s1, y6-s6, y7-s1, b5-s5, y5-s1, y8-s6, g7-s1, b7-s5, g5-s1, y9-s1, b9-s5, g9-s1, b0-s0, y2-s4, g2-s2->s1, b2-s0, g4-s2, b4-s0, y0-s2, b6-s0, g6-s2, b8-s0, 
29: g2-s2->s1, g1-s2->s7, y1-s4->s6, b1-s5->s3, g8-s7->s2, b0-s0, g4-s2, b2-s0, y0-s2, b4-s0, g6-s2, b6-s0, b8-s0, b3-s5, y7-s1, b5-s5, y3-s1->s2, y2-s4->s2, y4-s6->s4, g7-s1, b7-s5, g3-s1, y6-s6, y9-s1, b9-s5, y5-s1, y8-s6, g9-s1, g5-s1, g0-s1->s0, 
30: g4-s2->s1, y2-s4->s2, y1-s4->s6, b1-s5->s3, y4-s6->s4, b0-s0, g7-s1, g8-s2, b5-s5, g1-s7, g0-s1->s0, y3-s1->s2, y0-s2, b3-s5, y6-s6, b2-s0, y9-s1, b7-s5, g3-s1, g6-s2, y8-s6, b4-s0, g9-s1, b9-s5, y5-s1, b6-s0, g2-s1, g5-s1, b8-s0, y7-s1, 
31: g4-s2->s1, y1-s4->s6, b1-s5->s3, g1-s7->s2, b0-s0, y0-s2, b3-s5, b2-s0, g6-s2, b4-s0, g8-s2, b6-s0, b8-s0, b5-s5, g7-s1, b7-s5, g0-s1->s0, y3-s1->s2, y2-s4->s2, y4-s6->s4, y9-s1, b9-s5, g3-s1, y6-s6, g9-s1, y5-s1, y8-s6, g2-s1, g5-s1, y7-s1, 
32: g4-s2->s1, y2-s4->s2, y1-s4->s6, b1-s5->s3, y4-s6->s4, g1-s7->s2, b2-s0, g7-s1, b0-s0->s1, y3-s1->s2, y0-s2, b3-s5, y6-s6, b4-s0, y9-s1, g3-s1, g6-s2, y8-s6, b6-s0, g9-s1, y5-s1, g8-s2, b8-s0, g2-s1, g5-s1, g0-s0, y7-s1, b5-s5, b7-s5, b9-s5, 
33: b0-s0->s1, g3-s1->s2, y1-s4->s6, b1-s5->s3, g1-s7->s2, b4-s0, g7-s1, y3-s2, b5-s5, b2-s0, y5-s1, b3-s5, b6-s0, y9-s1, y2-s2, b7-s5, g5-s1, b8-s0, g9-s1, b9-s5, y7-s1, g0-s0, g2-s1, y4-s6->s4, g4-s2->s1, y6-s6, y0-s2, y8-s6, g6-s2, g8-s2, 
34: b1-s5->s3, y4-s6->s4, g1-s7->s2, b4-s0, b5-s5, b0-s0->s1, g3-s1->s2, g4-s2->s1, b3-s5, y6-s6, b6-s0, b7-s5, b2-s0, y5-s1, y0-s2, y8-s6, b8-s0, b9-s5, g5-s1, g6-s2, g0-s0, y7-s1, g8-s2, g7-s1, y9-s1, y1-s4->s6, g9-s1, y3-s2, g2-s1, y2-s2, 
35: y4-s4, b5-s5, b0-s0->s1, g3-s1->s2, g4-s2->s1, y3-s2->s4, y1-s4->s6, b1-s5->s3, y6-s6->s4, g1-s7->s2, b4-s0, y9-s1, y2-s2, b7-s5, b2-s0, y5-s1, y0-s2, b3-s5, y8-s6, b6-s0, g9-s1, b9-s5, g5-s1, g6-s2, b8-s0, g2-s1, y7-s1, g8-s2, g0-s0, g7-s1, 
